U.S. Regional Level,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,113820,"Birmingham-Hoover, AL",64.0,94.0,98.0,109.0,91.0,82.0,88.0,69.0,56.0,74.0,92.0,86.0,79.0,92.0,109.0,112.0,1395.0
Metropolitan Statistical Area,112940,"Baton Rouge, LA",167.0,147.0,103.0,115.0,85.0,73.0,59.0,68.0,61.0,45.0,51.0,64.0,70.0,77.0,92.0,82.0,1359.0
Metropolitan Statistical Area,143780,"South Bend-Mishawaka, IN-MI",69.0,82.0,70.0,91.0,73.0,70.0,76.0,66.0,66.0,61.0,79.0,90.0,105.0,104.0,125.0,110.0,1337.0
Metropolitan Statistical Area,139540,"Racine, WI",89.0,78.0,114.0,96.0,90.0,74.0,82.0,66.0,71.0,67.0,78.0,78.0,70.0,71.0,106.0,97.0,1327.0
Metropolitan Statistical Area,128700,"Kingsport-Bristol-Bristol, TN-VA",126.0,122.0,122.0,101.0,84.0,53.0,43.0,76.0,64.0,67.0,65.0,96.0,68.0,76.0,81.0,75.0,1319.0
Metropolitan Statistical Area,138940,"Port St. Lucie, FL",43.0,60.0,41.0,46.0,57.0,54.0,52.0,69.0,33.0,77.0,113.0,138.0,128.0,139.0,122.0,93.0,1265.0
Metropolitan Statistical Area,129620,"Lansing-East Lansing, MI",84.0,79.0,104.0,88.0,56.0,71.0,63.0,73.0,68.0,72.0,80.0,79.0,68.0,88.0,71.0,93.0,1237.0
Metropolitan Statistical Area,121500,"Erie, PA",103.0,97.0,86.0,73.0,60.0,64.0,71.0,61.0,54.0,57.0,63.0,77.0,72.0,102.0,86.0,91.0,1217.0
Metropolitan Statistical Area,144060,"Spokane, WA",53.0,56.0,72.0,62.0,72.0,56.0,79.0,68.0,59.0,49.0,73.0,73.0,93.0,117.0,105.0,104.0,1191.0
Metropolitan Statistical Area,142020,"San Luis Obispo-Paso Robles, CA",73.0,59.0,56.0,99.0,85.0,69.0,77.0,43.0,52.0,56.0,68.0,64.0,77.0,89.0,106.0,117.0,1190.0
Metropolitan Statistical Area,125860,"Hickory-Lenoir-Morganton, NC",73.0,78.0,75.0,74.0,62.0,71.0,65.0,69.0,63.0,45.0,73.0,49.0,79.0,86.0,109.0,106.0,1177.0
Metropolitan Statistical Area,128740,"Kingston, NY",78.0,70.0,76.0,62.0,71.0,58.0,70.0,79.0,59.0,69.0,82.0,90.0,66.0,84.0,82.0,77.0,1173.0
Metropolitan Statistical Area,139740,"Reading, PA",130.0,116.0,104.0,96.0,87.0,62.0,60.0,46.0,60.0,37.0,60.0,56.0,63.0,53.0,66.0,61.0,1157.0
Metropolitan Statistical Area,116820,"Charlottesville, VA",72.0,70.0,50.0,65.0,50.0,38.0,52.0,55.0,56.0,47.0,82.0,101.0,95.0,94.0,103.0,92.0,1122.0
